Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #2071
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0000
Water Temp (deg C),23.00
Room Temp (deg C),23.14
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.017
=====,=====
Time (s), Temperature (C)
0.00,23.00
60.00,23.00
120.00,23.00
180.00,23.00
240.00,23.00
300.00,23.00
315.00,23.01
330.00,23.19
345.00,23.47
360.00,23.77
375.00,24.05
390.00,24.29
405.00,24.50
420.00,24.67
435.00,24.80
450.00,24.91
465.00,24.99
480.00,25.07
540.00,25.22
600.00,25.27
660.00,25.28
720.00,25.27
780.00,25.27
840.00,25.27
900.00,25.27
960.00,25.26
1020.00,25.26
1080.00,25.26
